username,post_text,posted_date,retweets,favorites
Baagij13310361,"Б.Энхбаяр: Л.Оюун-Эрдэнэ намайг Бодь, Голомт капиталаас 500 мянга, дараа нь 1.5 сая ам долларын хахууль аваад нүүрсний сонсголд Бодийн оффтейкийг ярилгүй нуусан гэж ярив. 2023 оны 12-р сарын 22-ны өдөр “нүүрсний сонсгол” дээр Голомт капитал гэх Бодийн оффист ЭТТ захирал асан https://t.co/N4amGcW3iD",2026-03-12 05:41:07+00:00,0,3
Baagij13310361,"Л.ОЮУН-ЭРДЭНЭ: Б.Энхбаяр Бодиос 500 мянган ам.долларын хандивыг хэд хэдэн удаагийн үйлдлээр авсан асуудлыг ирэх долоо хоногт АТГ-д өгнө‼️‼️
Нүүрсний сонсгол дээр зориуд Бодийн асуудлыг Бортээгээр сольж, цаана нь байгаа авлигын асуудлыг далдалсан‼️
Б.Энхбаяр нэг асуудлыг дарахын https://t.co/89D315yYYd",2026-03-12 07:02:38+00:00,0,3
NanzaddorjDemb2,"Оюун-Эрдэнэ ер нь ямар ярилцлаганд орж буйгаа, сэтгүүлч ямар асуулт асууж буйг огтоос ойлгохгүй хүн байна. Зүгээр л 3цаг гаран үлгэр ярьж, хүн гүтгэж, бусдыг мууллаа. Бас намын дотоод асуудлаан энд ярьдаг нь ч яаж байгаан. https://t.co/4qapdK4GSM",2026-03-12 11:04:13+00:00,0,3
bilegsxn,"СЭТГҮҮЛЧ: Л.Оюун-Эрдэнэ, Д.Амарбаясгалан нарын 6 хүн нийлж суугаад сэтгүүлчийг хорих шийдэлд хүрсэн юм уу даа. Тийм зүйл болсон юм уу⁉️

Л.Оюун-Эрдэнэ: Болсон. Энэ бол хонгилын нэг жишээ. https://t.co/qsouj8VXnC",2026-03-12 06:32:48+00:00,4,3
Tsomuushka,Л.Оюун-Эрдэнэ: Найзууддаа би гар утасны микрофон аваад өг гэсэн. Одоо би Ерөнхий сайд биш болсон тул лайв хийнэ... https://t.co/oQ7ChX83iW,2026-03-12 05:25:56+00:00,0,2
DNN_MN,"Л.Оюун-Эрдэнэ: Ерөнхийлөгчийн хөлийг үнсэх юу ч биш шүү.
Х.Баттулгыг муулах гээд байгаа нөхөд чинь хэзээ ч уулзаж байгаагүй юм шиг урт хадаг бариад, Ерөнхийлөгчийн хөлийг үнсэх юу ч биш шүү. Ер нь таллаж хэвтээд, мөлхөж орж ирнэ шүү дээ https://t.co/bjezry9Kgv",2026-03-12 05:16:40+00:00,1,2
guilee_mn,"Миний бодлоор Оюун-Эрдэнэ маш айж, сандарсан стрэсстэй харагдсан. Тогтмол 2 нүдээ ирмэж байсан. Энэ нь түгшүүр, айдас гэсэн тохио. Бэлхүүс, толгой, цээжин биеэр таргалалттай нь архи, чихэр буюу их хэмжээгээр Фруктоз хэрэглэж байна гэсэн үг. Элэг бол авах юмгүй өөхөлсөн байх.",2026-03-12 13:18:35+00:00,0,2
gereltuya29,Лхагвийн тоймоор орсон хүн бүхэн арьсаа хамгаалах юм тээ!? Гэвч ЕС Оюун-эрдэнэ -ийн хувьд жинхэнэ улалзуулсан ярилцлага блаа.,2026-03-12 12:19:15+00:00,0,2
Narantuya_P,"Хонгилын жоомнуудын хүслээр бол Оюун-Эрдэнэ ам нээх эрхгүй, тролл армид нь доромжлуулаад сууж бх ёстой юм бна л даа.  ҮНЭН цаг нь болохоор ЧАНГА хашхирдаг гэж энэ !!! Үнэнийг сонсох үнэхээр хэцүү бгаа биз?!",2026-03-12 10:20:35+00:00,1,2
THEJAALQ,"Л.Оюун-Эрдэнэ: Дарга байхад Б.Энхбаяр биеэ ороогоод 🐍 могой шиг ""Дарга аа"" гээд орж ирдэг. ""Буудчих уу, жанжиан"" гэдэг шиг л нөхөр шүү дээ‼️ 🤣🤣🤣 https://t.co/ZP4zgJYKaQ",2026-03-12 10:04:10+00:00,1,2
amgaa_tu,@Topaz1207 Оюун-Эрдэнэ гэдэг нь --Нямбаатар,2026-03-12 07:20:52+00:00,0,2
anarnrnn,"Л.Оюун-Эрдэнэ: Ерөнхийлөгч бид хоёр 2027 оны сонгуулиас болж таарахаа больсон‼️

Бүх л ЗГ Ерөнхийлөгчтэй таарахаа болихоор л ОГЦОРДОГ. Тэр өдөр ЗГ-ын төгсгөл ирдэг‼️

@UKhurelsukh @OyunerdeneMN @Zandanshatar https://t.co/5wcoRLXWnd",2026-03-12 06:33:58+00:00,0,2
UBn_mn,"Л.Оюун-Эрдэнэ: Ерөнхийлөгч бид хоёр 2027 оны сонгуулиас болж таарахаа больсон‼️

Бүх л ЗГ Ерөнхийлөгчтэй таарахаа болихоор л ОГЦОРДОГ. Тэр өдөр ЗГ-ын төгсгөл ирдэг‼️

БҮТЭН ЯРИЛЦЛАГА ҮЗЭХ: https://t.co/hFouCcb0MU

@UKhurelsukh @OyunerdeneMN @Zandanshatar https://t.co/6sQGij4uTY",2026-03-12 06:28:23+00:00,6,2
mn_zarig,Л.Оюун-Эрдэнэ: Өнөрөөг хонгилдсон нь үнэн. Хонгилын түлхүүр үе үеийн ерөнхийлөгчид байдаг https://t.co/Vr0Qfw7cyT,2026-03-12 05:35:47+00:00,2,2
Baagij13310361,"Л.Оюун-Эрдэнэ: У.Хүрэлсүх Ерөнхийлөгч дахин 6жил ерөнхийлөгч боллоо гэж бодъё. Дахиад 3 дах удаагаа болно гэвэл яах вэ?
У.Хүрэлсүх: Би өөрийгөө дахиж 6 жилээр огт сонгохгүй. https://t.co/PYpHpxosoo",2026-03-12 08:18:31+00:00,0,2
tsogt_tsogt,"Д.Амарбаясгалан, Л.Оюун-Эрдэнэ хоёулаа л хэллээ. Хэнд ял өгч явуулахыг тэр дээгүүр хэдэн хүн яриад шийддэг болсон гэж. Энэ аймшигтай бишүү? Энэ 2 хэн байх нь яахав Энэ хэлсэнд анхаарахгүй бол... https://t.co/Odd1EmMEK5",2026-03-12 09:58:52+00:00,2,2
